ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
171,11.38840639,55.32291944,72,3,11,4.290459441,1.386294361,2.48490665,4.276667508,1.098645621,2.397904364,651537.9093,6133324.591,7
172,11.38841611,55.32298694,23,1,1,3.17805383,0.693147181,0.693147181,3.135498564,1.00E-04,1.00E-04,651538.2684,6133332.122,4
173,11.38842111,55.32305667,23,0,4,3.17805383,0,1.609437912,3.135498564,-9.210340372,1.386319361,651538.3195,6133339.889,1
174,11.38840889,55.32283417,17,0,1,2.890371758,0,0.693147181,2.833219226,-9.210340372,1.00E-04,651538.3933,6133315.109,8
175,11.38840667,55.32279333,49,0,2,3.912023005,0,1.098612289,3.891822339,-9.210340372,0.693197179,651538.4081,6133310.562,2
176,11.38841472,55.32287778,17,2,0,2.890371758,1.098612289,0,2.833219226,0.693197179,-9.210340372,651538.5969,6133319.974,8
177,11.38841694,55.32290194,39,1,6,3.688879454,0.693147181,1.945910149,3.66356421,1.00E-04,1.791776136,651538.6456,6133322.667,9
178,11.38843139,55.32308694,48,1,1,3.891820298,0.693147181,0.693147181,3.871203094,1.00E-04,1.00E-04,651538.8559,6133343.28,5
179,11.38841528,55.32281528,35,0,5,3.583518938,0,1.791759469,3.555350919,-9.210340372,1.609457912,651538.8706,6133313.022,7
180,11.38841306,55.32277611,26,1,0,3.295836866,0.693147181,0,3.258100384,1.00E-04,-9.210340372,651538.8791,6133308.66,3
181,11.38844111,55.323105,10,0,0,2.397895273,0,0,2.302595093,-9.210340372,-9.210340372,651539.4038,6133345.31,7
182,11.38843833,55.32297667,24,1,2,3.218875825,0.693147181,1.098612289,3.178057997,1.00E-04,0.693197179,651539.7173,6133331.027,8
183,11.3884325,55.32285944,35,0,2,3.583518938,0,1.098612289,3.555350919,-9.210340372,0.693197179,651539.7946,6133317.973,1
184,11.38844111,55.32291944,50,0,1,3.931825633,0,0.693147181,3.912025005,-9.210340372,1.00E-04,651540.1119,6133324.667,10
185,11.38845278,55.32305722,33,7,4,3.526360525,2.079441542,1.609437912,3.496510592,1.945924435,1.386319361,651540.3262,6133340.02,7
186,11.38845083,55.3229875,15,0,0,2.772588722,0,0,2.708056868,-9.210340372,-9.210340372,651540.4689,6133332.259,9
